hour_start,flows,attacks,attack_pct
2018-02-14 02:00:00,170152,120348.0,70.73
2018-02-14 11:00:00,225353,119490.0,53.02
2018-03-02 11:00:00,183414,87412.0,47.66
2018-03-02 03:00:00,151373,67560.0,44.63
2018-02-14 03:00:00,102758,67241.0,65.44
2018-02-14 10:00:00,168069,52900.0,31.48
2018-03-02 02:00:00,117472,41585.0,35.4
2018-03-01 10:00:00,54032,37470.0,69.35
2018-03-01 02:00:00,47897,33874.0,70.72
2018-03-02 01:00:00,112091,32146.0,28.68
2018-03-02 12:00:00,109864,31840.0,28.98
2018-03-02 10:00:00,118426,25648.0,21.66
2018-02-14 12:00:00,103895,20970.0,20.18
2018-03-01 03:00:00,41874,20437.0,48.81
2018-03-01 09:00:00,36852,1282.0,3.48
2018-03-01 05:00:00,11805,0.0,0.0
2018-02-14 08:00:00,67293,0.0,0.0
2018-03-02 04:00:00,75243,0.0,0.0
2018-03-01 12:00:00,17918,0.0,0.0
2018-02-14 09:00:00,105572,0.0,0.0
